Date,Time,Elapsed Seconds,Carbon Dioxide-CO&#x2082; (ppm),Carbon Dioxide-Avg. (ppm),Particulate Matter-PM10 (ug/m&#179;),Particulate Matter-PM2.5 (ug/m&#179;),Particulate Matter-PM1.0 (ug/m&#179;),Particulate Matter-Avg. (ug/m&#179;),Particulate Matter-Avg. (ug/m&#179;),Particulate Matter-Avg. (ug/m&#179;),Air Quality Index-AQI ,Air Quality Index-Avg. ,Pressure Barometric-Pressure (mBar),Internal Temperature-Internal Temperature (&#x2103;),Humidity-Humidity (%RH),Dew Point-Dew Point (&#x2103;),Heat Index-Heat Index (&#x2103;),Pressure Altitude-Altitude (m),Ozone-Avg. (ppb),Ozone-O&#x2083; (ppb)
,,194.00,550,761.5,15,26,26,13.8,21.9,24.7,80.2,70.3,992.64,25.8,31.8,7.8,25.3,173,0.5,0.5
,,195.00,556,760.5,16,26,26,13.8,21.9,24.7,80.2,70.3,992.64,25.8,31.8,7.8,25.2,173,0.4,0.4
,,196.00,551,759.4,16,26,26,13.8,21.9,24.7,80.2,70.4,992.68,25.8,31.8,7.8,25.2,172.7,0.4,0.3
,,197.00,553,758.4,16,25,25,13.9,21.9,24.7,78.1,70.4,992.69,25.8,31.8,7.8,25.2,172.6,0.4,0.4
,,198.00,555,757.4,16,25,25,13.9,22,24.7,78.1,70.5,992.68,25.8,31.8,7.7,25.2,172.6,0.4,-0.3
,,199.00,545,756.3,16,25,27,13.9,22,24.7,78.1,70.5,992.7,25.8,31.8,7.7,25.2,172.5,0.4,0.1
,,200.00,548,755.3,16,25,26,13.9,22,24.7,78.1,70.5,992.69,25.8,31.8,7.7,25.2,172.6,0.4,0.4
,,201.00,552,754.2,16,25,26,13.9,22,24.7,78.1,70.6,992.66,25.7,31.8,7.7,25.2,172.8,0.5,0.8
,,202.00,551,753.2,16,25,26,13.9,22,24.7,78.1,70.6,992.66,25.7,31.8,7.7,25.2,172.8,0.5,0.8
,,203.00,550,752.3,16,24,25,13.9,22,24.7,76,70.6,992.67,25.7,31.8,7.7,25.2,172.7,0.5,0.4
,,204.00,557,751.3,16,24,25,13.9,22,24.7,76,70.7,992.65,25.7,31.8,7.7,25.2,172.9,0.4,0.3
,,205.00,559,750.4,16,24,25,13.9,22.1,24.7,76,70.7,992.63,25.7,31.8,7.7,25.2,173.1,0.4,0.3
,,206.00,561,749.4,16,23,27,14,22.1,24.7,73.9,70.7,992.62,25.7,31.8,7.7,25.2,173.1,0.4,0
,,207.00,557,748.5,15,23,28,14,22.1,24.7,73.9,70.7,992.65,25.7,31.8,7.7,25.1,172.9,0.5,0.9
,,208.00,555,747.6,15,23,28,14,22.1,24.7,73.9,70.7,992.65,25.7,31.8,7.7,25.1,172.9,0.4,-0.3
,,209.00,552,746.7,15,22,27,14,22.1,24.8,71.8,70.7,992.66,25.7,31.8,7.7,25.1,172.9,0.5,0.8
,,210.00,551,745.7,15,22,27,14,22.1,24.8,71.8,70.7,992.63,25.7,31.8,7.7,25.1,173.1,0.5,0.5
,,211.00,553,744.8,17,22,27,14,22.1,24.8,71.8,70.8,992.64,25.7,31.8,7.7,25.1,173,0.5,0.4
,,212.00,552,743.9,15,21,28,14,22.1,24.8,69.7,70.7,992.69,25.7,31.8,7.7,25.1,172.6,0.5,0.7
,,213.00,551,743,15,21,28,14,22.1,24.8,69.7,70.7,992.65,25.6,31.8,7.6,25.1,172.9,0.4,0.4
,,214.00,552,742.1,16,22,29,14,22.1,24.8,71.8,70.7,992.68,25.6,31.8,7.6,25.1,172.7,0.5,0.7
,,215.00,559,741.3,16,22,29,14,22.1,24.8,71.8,70.8,992.63,25.6,31.8,7.6,25.1,173.1,0.5,1
,,216.00,560,740.5,16,22,29,14,22.1,24.9,71.8,70.8,992.62,25.6,31.8,7.6,25.1,173.2,0.4,0
,,217.00,560,739.6,16,23,30,14,22.1,24.9,73.9,70.8,992.63,25.6,31.8,7.6,25.1,173.1,0.5,0.7
,,218.00,562,738.8,16,23,30,14,22.1,24.9,73.9,70.8,992.67,25.6,31.8,7.6,25.1,172.7,0.5,0.7
,,219.00,562,738,15,23,30,14,22.1,24.9,73.9,70.8,992.63,25.6,31.8,7.6,25,173.1,0.5,0.5
,,220.00,568,737.2,14,22,29,14,22.1,25,71.8,70.8,992.63,25.6,31.8,7.6,25,173.1,0.4,0.4
,,221.00,575,736.5,14,22,29,14,22.1,25,71.8,70.8,992.62,25.6,31.8,7.6,25,173.1,0.5,0.7
,,222.00,581,735.8,14,22,29,14,22.1,25,71.8,70.8,992.64,25.6,31.8,7.6,25,173,0.4,-0.1
,,223.00,590,735.2,16,24,27,14.1,22.1,25,76,70.8,992.63,25.6,31.8,7.6,25,173.1,0.5,0.8
,,224.00,589,734.5,16,24,27,14.1,22.1,25,76,70.9,992.66,25.6,31.8,7.6,25,172.9,0.4,0.3
,,225.00,593,733.9,16,24,27,14.1,22.1,25,76,70.9,992.65,25.6,31.8,7.6,25,172.9,0.4,0.3
,,226.00,593,733.3,16,25,29,14.1,22.1,25,78.1,70.9,992.63,25.6,31.8,7.6,25,173.1,0.4,0.2
,,227.00,590,732.6,17,26,30,14.1,22.1,25.1,80.2,71,992.63,25.5,31.8,7.6,25,173.1,0.4,0.4
,,228.00,590,732,17,26,30,14.1,22.1,25.1,80.2,71,992.64,25.5,31.8,7.6,25,173,0.5,0.5
,,229.00,589,731.4,17,27,30,14.1,22.2,25.1,82.3,71,992.63,25.5,31.8,7.5,25,173,0.5,0.8
,,230.00,590,730.8,17,27,30,14.1,22.2,25.1,82.3,71.1,992.65,25.5,31.8,7.5,24.9,172.9,0.4,0.4
,,231.00,585,730.2,17,26,29,14.1,22.2,25.1,80.2,71.1,992.65,25.5,31.8,7.5,24.9,172.9,0.5,0.5
,,232.00,583,729.5,16,26,27,14.2,22.2,25.1,80.2,71.2,992.67,25.5,31.8,7.5,24.9,172.7,0.5,0.7
,,233.00,583,728.9,16,26,27,14.2,22.2,25.2,80.2,71.2,992.68,25.5,31.8,7.5,24.9,172.7,0.4,-0.5
,,234.00,582,728.3,17,25,26,14.2,22.2,25.2,78.1,71.2,992.7,25.5,31.8,7.5,24.9,172.5,0.4,0.3
,,235.00,577,727.6,16,23,26,14.2,22.2,25.2,73.9,71.2,992.62,25.5,31.8,7.5,24.9,173.1,0.5,0.5
,,236.00,575,727,16,23,26,14.2,22.2,25.2,73.9,71.3,992.63,25.5,31.8,7.5,24.9,173.1,0.5,0.8
,,237.00,575,726.3,17,23,26,14.2,22.3,25.2,73.9,71.3,992.65,25.5,31.8,7.5,24.9,172.9,0.4,-0.2
,,238.00,574,725.7,17,23,26,14.2,22.3,25.2,73.9,71.3,992.62,25.5,31.8,7.5,24.9,173.2,0.4,-0.2
,,239.00,575,725.1,17,24,27,14.2,22.3,25.2,76,71.3,992.64,25.5,31.8,7.5,24.9,173,0.4,0.2
,,240.00,573,724.4,17,24,27,14.2,22.3,25.2,76,71.3,992.63,25.4,31.8,7.5,24.9,173.1,0.4,-0.1
,,241.00,577,723.8,17,24,27,14.2,22.3,25.2,76,71.3,992.64,25.4,31.8,7.5,24.9,173,0.5,0.4
,,242.00,572,723.2,17,24,27,14.3,22.3,25.2,76,71.4,992.68,25.4,31.8,7.5,24.9,172.6,0.4,0.4
,,243.00,570,722.6,15,21,23,14.3,22.3,25.2,69.7,71.4,992.77,25.4,31.8,7.4,24.8,171.9,0.5,0.5
,,244.00,572,722,15,21,23,14.3,22.3,25.2,69.7,71.3,992.71,25.4,31.8,7.4,24.8,172.4,0.4,-0.2
,,245.00,574,721.4,15,21,23,14.3,22.3,25.2,69.7,71.3,992.6,25.4,31.8,7.4,24.8,173.4,0.4,0
,,246.00,575,720.8,15,20,22,14.3,22.3,25.2,67.6,71.3,992.58,25.4,31.8,7.4,24.8,173.5,0.4,-0.5
,,247.00,568,720.2,14,23,23,14.3,22.3,25.2,73.9,71.3,992.65,25.4,31.8,7.4,24.8,172.9,0.4,-0.2
,,248.00,568,719.6,15,24,24,14.3,22.3,25.1,76,71.4,992.63,25.4,31.8,7.4,24.8,173.1,0.4,0.2
,,249.00,569,718.9,15,25,25,14.3,22.3,25.1,78.1,71.4,992.67,25.4,31.8,7.4,24.8,172.7,0.4,-0.2
,,250.00,564,718.3,14,24,25,14.3,22.3,25.1,76,71.4,992.71,25.4,31.8,7.4,24.8,172.4,0.5,0.5
,,251.00,560,717.7,15,25,26,14.3,22.3,25.2,78.1,71.4,992.72,25.4,31.8,7.4,24.8,172.3,0.5,0.9
,,252.00,562,717.1,14,25,26,14.3,22.3,25.2,78.1,71.5,992.76,25.4,31.8,7.4,24.8,172,0.4,-0.3
,,253.00,567,716.5,15,25,26,14.3,22.3,25.2,78.1,71.5,992.81,25.4,31.8,7.4,24.8,171.6,0.5,0.5
,,254.00,567,715.9,15,25,26,14.3,22.3,25.2,78.1,71.5,992.71,25.4,31.8,7.4,24.8,172.4,0.4,0.2
,,255.00,562,715.3,16,27,27,14.3,22.3,25.2,82.3,71.5,992.72,25.3,31.8,7.4,24.8,172.3,0.4,-0.3
,,256.00,564,714.7,14,24,24,14.3,22.4,25.2,76,71.6,992.69,25.3,31.8,7.4,24.7,172.6,0.4,0.1
,,257.00,559,714.1,14,24,24,14.3,22.4,25.2,76,71.6,992.68,25.3,31.8,7.4,24.7,172.7,0.4,0.2
,,258.00,560,713.5,15,25,25,14.3,22.4,25.2,78.1,71.6,992.71,25.3,31.8,7.4,24.7,172.4,0.4,-0.3
,,259.00,557,712.9,16,25,25,14.3,22.4,25.2,78.1,71.6,992.71,25.3,31.8,7.4,24.7,172.4,0.5,1
,,260.00,565,712.4,14,23,23,14.3,22.4,25.1,73.9,71.6,992.68,25.3,31.8,7.4,24.7,172.7,0.5,0.8
,,261.00,565,711.8,14,23,23,14.3,22.4,25.1,73.9,71.6,992.77,25.3,31.8,7.4,24.7,171.9,0.4,0.1
,,262.00,564,711.2,15,24,24,14.3,22.4,25.1,76,71.7,992.78,25.3,31.8,7.4,24.7,171.8,0.4,0.3
,,263.00,564,710.7,15,24,24,14.3,22.4,25.1,76,71.7,992.77,25.3,31.8,7.4,24.7,171.9,0.5,0.5
,,264.00,558,710.1,16,24,24,14.3,22.4,25.1,76,71.7,992.77,25.3,31.8,7.3,24.7,171.9,0.5,0.9
,,265.00,558,709.5,16,25,25,14.3,22.4,25.1,78.1,71.7,992.74,25.3,31.8,7.3,24.7,172.2,0.5,0.6
,,266.00,557,709,16,25,25,14.3,22.4,25.1,78.1,71.7,992.71,25.3,31.8,7.3,24.7,172.4,0.4,-0.1
,,267.00,558,708.4,16,24,24,14.3,22.4,25.1,76,71.8,992.69,25.3,31.8,7.3,24.7,172.6,0.5,0.7
,,268.00,561,707.8,17,24,24,14.3,22.4,25.1,76,71.8,992.71,25.3,31.8,7.3,24.7,172.4,0.4,0.2
,,269.00,555,707.3,17,24,24,14.3,22.4,25.1,76,71.8,992.69,25.3,31.8,7.3,24.7,172.5,0.5,0.9
,,270.00,560,706.7,17,23,25,14.4,22.4,25.1,73.9,71.8,992.69,25.3,31.8,7.3,24.7,172.6,0.4,-0.2
,,271.00,567,706.2,17,23,25,14.4,22.4,25.1,73.9,71.8,992.66,25.2,31.8,7.3,24.7,172.9,0.4,0.1
,,272.00,568,705.7,16,23,25,14.4,22.4,25.1,73.9,71.8,992.63,25.2,31.8,7.3,24.6,173.1,0.4,-0.1
,,273.00,564,705.2,16,24,26,14.4,22.5,25.1,76,71.8,992.6,25.2,31.8,7.3,24.6,173.3,0.4,-0.3
,,274.00,564,704.7,17,25,27,14.4,22.5,25.1,78.1,71.9,992.57,25.2,31.8,7.3,24.6,173.6,0.4,0
,,275.00,561,704.2,17,25,27,14.4,22.5,25.1,78.1,71.9,992.56,25.2,31.8,7.3,24.6,173.7,0.4,0.4
,,276.00,560,703.6,18,26,28,14.4,22.5,25.1,80.2,71.9,992.54,25.2,31.8,7.3,24.6,173.8,0.4,0.3
,,277.00,555,703.1,18,26,28,14.4,22.5,25.2,80.2,71.9,992.5,25.2,31.8,7.3,24.6,174.2,0.4,0.4
,,278.00,555,702.6,17,25,27,14.4,22.5,25.2,78.1,72,992.51,25.2,31.8,7.2,24.6,174.1,0.4,-0.4
,,279.00,557,702.1,17,26,28,14.4,22.5,25.2,80.2,72,992.49,25.2,31.8,7.2,24.6,174.3,0.4,-0.1
,,280.00,555,701.5,17,26,28,14.4,22.5,25.2,80.2,72,992.53,25.2,31.8,7.2,24.6,173.9,0.4,0.3
,,281.00,558,701,17,26,28,14.5,22.5,25.2,80.2,72,992.47,25.2,31.8,7.2,24.6,174.5,0.4,0.3
,,282.00,560,700.5,17,25,27,14.5,22.6,25.2,78.1,72.1,992.43,25.2,31.8,7.2,24.6,174.7,0.4,0.3
,,283.00,564,700,17,25,27,14.5,22.6,25.2,78.1,72.1,992.42,25.2,31.8,7.2,24.6,174.8,0.5,0.6
,,284.00,567,699.6,17,25,27,14.5,22.6,25.2,78.1,72.1,992.41,25.1,31.8,7.2,24.5,174.9,0.4,-0.3
,,285.00,567,699.1,17,25,27,14.5,22.6,25.2,78.1,72.1,992.42,25.1,31.8,7.2,24.5,174.9,0.5,1
,,286.00,567,698.7,16,24,26,14.5,22.6,25.2,76,72.1,992.41,25.1,31.8,7.2,24.5,174.9,0.4,-0.5
,,287.00,567,698.2,16,24,25,14.5,22.6,25.2,76,72.2,992.41,25.1,31.8,7.2,24.5,174.9,0.4,-0.2
,,288.00,567,697.7,16,24,24,14.5,22.6,25.2,76,72.2,992.38,25.1,31.8,7.2,24.5,175.2,0.4,0.1
,,289.00,568,697.3,16,24,24,14.5,22.6,25.2,76,72.2,992.4,25.1,31.8,7.2,24.5,175,0.4,0.2
,,290.00,565,696.8,16,24,24,14.5,22.6,25.2,76,72.2,992.36,25.1,31.8,7.2,24.5,175.3,0.5,0.9
,,291.00,568,696.4,16,24,24,14.5,22.6,25.2,76,72.2,992.39,25.1,31.8,7.2,24.5,175.1,0.4,0.3
,,292.00,572,696,16,23,23,14.5,22.6,25.2,73.9,72.2,992.42,25.1,31.8,7.2,24.5,174.8,0.4,-0.4
,,293.00,572,695.6,16,23,23,14.5,22.6,25.2,73.9,72.2,992.42,25.1,31.8,7.2,24.5,174.9,0.5,0.6
,,294.00,572,695.1,17,24,24,14.5,22.6,25.2,76,72.2,992.42,25.1,31.8,7.2,24.5,174.9,0.4,-0.4
,,295.00,567,694.7,17,24,24,14.5,22.6,25.2,76,72.2,992.4,25.1,31.8,7.1,24.5,175,0.4,0.2
,,296.00,576,694.3,16,22,23,14.6,22.6,25.2,71.8,72.2,992.42,25,31.8,7.1,24.4,174.8,0.5,0.5
,,297.00,568,693.9,16,22,23,14.6,22.6,25.2,71.8,72.2,992.45,25,31.8,7.1,24.4,174.6,0.4,0.3
,,298.00,567,693.5,16,22,23,14.6,22.6,25.2,71.8,72.2,992.46,25,31.8,7.1,24.4,174.5,0.5,0.6
,,299.00,567,693,16,23,24,14.6,22.6,25.2,73.9,72.2,992.46,25,31.8,7.1,24.4,174.6,0.5,0.6
,,300.00,563,692.6,17,25,26,14.6,22.6,25.2,78.1,72.3,992.43,25,33.2,7.7,24.4,174.7,0.5,1.1
,,301.00,563,692.2,17,25,26,14.6,22.6,25.2,78.1,72.3,992.45,25,33.2,7.7,24.4,174.6,0.4,0.4
,,302.00,564,691.7,17,25,26,14.6,22.6,25.2,78.1,72.3,992.43,25,33.2,7.7,24.4,174.8,0.4,0.4
,,303.00,563,691.3,17,25,26,14.6,22.6,25.2,78.1,72.3,992.47,25,33.2,7.7,24.4,174.5,0.5,0.9
,,304.00,565,690.9,16,25,26,14.6,22.7,25.2,78.1,72.3,992.37,25,33.2,7.7,24.4,175.2,0.4,-0.2
,,305.00,566,690.5,15,24,25,14.6,22.7,25.2,76,72.4,992.36,25,33.2,7.7,24.4,175.4,0.4,0.4
,,306.00,567,690.1,15,24,25,14.6,22.7,25.2,76,72.4,992.35,25,33.2,7.7,24.4,175.5,0.4,0.5
,,307.00,567,689.7,15,25,27,14.6,22.7,25.2,78.1,72.4,992.31,25,33.2,7.7,24.4,175.8,0.5,1
,,308.00,575,689.3,15,25,27,14.6,22.7,25.2,78.1,72.4,992.34,25,33.2,7.7,24.4,175.6,0.4,-0.3
,,309.00,566,688.9,15,26,27,14.6,22.7,25.2,80.2,72.4,992.33,25,33.2,7.7,24.4,175.6,0.5,0.5
,,310.00,568,688.5,16,26,27,14.6,22.7,25.2,80.2,72.5,992.29,25,33.2,7.7,24.4,175.9,0.4,0.1
,,311.00,571,688.2,17,27,28,14.6,22.7,25.2,82.3,72.5,992.28,25,33.2,7.7,24.4,176,0.4,-0.3
,,312.00,573,687.8,17,27,28,14.6,22.7,25.2,82.3,72.5,992.3,25,33.2,7.7,24.4,175.9,0.5,0.9
,,313.00,573,687.4,17,25,26,14.6,22.7,25.2,78.1,72.5,992.28,25,33.2,7.7,24.4,176,0.4,0.3
,,314.00,576,687.1,17,25,26,14.6,22.7,25.2,78.1,72.6,992.3,25,33.2,7.7,24.4,175.9,0.4,-0.2
,,315.00,571,686.7,17,25,26,14.7,22.7,25.2,78.1,72.6,992.31,25,33.2,7.7,24.4,175.8,0.4,-0.1
,,316.00,567,686.3,17,24,25,14.7,22.8,25.2,76,72.6,992.36,25,33.2,7.7,24.4,175.4,0.4,-0.5
,,317.00,568,686,17,23,25,14.7,22.8,25.2,73.9,72.6,992.41,25,31.9,7.1,24.4,174.9,0.5,0.8
,,318.00,564,685.6,17,23,25,14.7,22.8,25.2,73.9,72.6,992.41,25,31.9,7.1,24.4,175,0.4,-0.1
,,319.00,566,685.2,16,21,22,14.7,22.7,25.2,69.7,72.6,992.39,25,31.9,7.1,24.4,175.2,0.4,-0.3
,,320.00,567,684.8,16,21,22,14.7,22.7,25.2,69.7,72.6,992.4,25,31.9,7.1,24.4,175,0.5,1
,,321.00,556,684.4,17,21,22,14.7,22.7,25.2,69.7,72.6,992.51,25,31.9,7.1,24.4,174.1,0.4,-0.3
,,322.00,558,684,18,22,23,14.7,22.7,25.2,71.8,72.6,992.49,25,33.2,7.7,24.4,174.3,0.5,0.9
,,323.00,555,683.6,18,22,23,14.7,22.7,25.2,71.8,72.6,992.61,25,33.2,7.7,24.4,173.2,0.4,-0.1
,,324.00,559,683.3,18,21,21,14.7,22.7,25.2,69.7,72.6,992.56,25,33.2,7.7,24.4,173.6,0.4,-0.2
,,325.00,556,682.9,17,21,21,14.7,22.7,25.1,69.7,72.5,992.62,25,31.9,7.1,24.4,173.1,0.5,0.7
,,326.00,559,682.5,17,21,21,14.7,22.7,25.1,69.7,72.5,992.65,25,31.8,7.1,24.4,172.9,0.4,-0.3
,,327.00,561,682.1,17,20,20,14.7,22.7,25.1,67.6,72.5,992.65,25,31.8,7.1,24.4,172.9,0.5,0.5
,,328.00,560,681.8,17,20,20,14.7,22.7,25.1,67.6,72.5,992.65,25,31.9,7.1,24.4,172.9,0.4,-0.5
,,329.00,561,681.4,18,21,21,14.8,22.7,25.1,69.7,72.5,992.66,25,31.9,7.1,24.4,172.8,0.4,-0.3
,,330.00,563,681,18,21,21,14.8,22.7,25.1,69.7,72.5,992.79,25,31.9,7.1,24.4,171.7,0.5,0.6
,,331.00,563,680.7,17,20,21,14.8,22.7,25.1,67.6,72.5,992.86,25,31.9,7.1,24.4,171.2,0.5,0.9
,,332.00,559,680.3,17,21,21,14.8,22.7,25,69.7,72.5,993.07,25,31.9,7.1,24.4,169.4,0.5,0.6
,,333.00,560,679.9,17,21,21,14.8,22.7,25,69.7,72.5,993.03,25,31.9,7.1,24.4,169.7,0.4,0.2
,,334.00,558,679.6,17,21,21,14.8,22.7,25,69.7,72.4,993.07,25,31.9,7.1,24.4,169.4,0.4,-0.1
,,335.00,556,679.2,18,23,25,14.8,22.7,25,73.9,72.5,993.08,25,31.9,7,24.3,169.3,0.4,0.2
,,336.00,558,678.9,18,23,25,14.8,22.7,25,73.9,72.5,993.03,25,31.9,7,24.3,169.7,0.4,0.1
,,337.00,561,678.5,18,23,28,14.8,22.7,25,73.9,72.5,993.01,24.9,31.9,7,24.3,169.9,0.4,0
,,338.00,559,678.2,18,23,28,14.8,22.7,25,73.9,72.5,993.05,24.9,33.2,7.7,24.3,169.6,0.4,0.1
,,339.00,563,677.8,18,24,28,14.8,22.7,25.1,76,72.5,993.08,24.9,33.2,7.7,24.3,169.3,0.4,-0.1
,,340.00,564,677.5,18,24,28,14.9,22.7,25.1,76,72.5,993.04,24.9,33.2,7.7,24.3,169.6,0.4,-0.5
,,341.00,568,677.2,18,24,28,14.9,22.7,25.1,76,72.5,993.02,24.9,33.2,7.7,24.3,169.8,0.4,0.4
,,342.00,567,676.8,18,24,28,14.9,22.7,25.1,76,72.5,992.98,24.9,33.2,7.6,24.3,170.1,0.4,0.5
,,343.00,571,676.5,18,24,28,14.9,22.7,25.1,76,72.5,992.96,24.9,33.2,7.6,24.3,170.3,0.4,0.4
,,344.00,571,676.2,16,23,27,14.9,22.7,25.1,73.9,72.5,992.99,24.9,33.2,7.6,24.3,170,0.4,0.1
,,345.00,571,675.9,17,24,28,14.9,22.7,25.1,76,72.5,992.97,24.9,33.2,7.6,24.3,170.2,0.4,-0.4
,,346.00,572,675.6,17,24,28,14.9,22.7,25.1,76,72.5,992.94,24.9,33.2,7.6,24.3,170.4,0.4,0.1
,,347.00,571,675.3,18,24,28,14.9,22.7,25.1,76,72.5,993,24.9,33.2,7.6,24.3,169.9,0.4,-0.5
,,348.00,564,675,18,25,27,14.9,22.7,25.1,78.1,72.6,993.03,24.9,33.2,7.6,24.3,169.7,0.4,0.3
,,349.00,564,674.7,18,25,28,14.9,22.7,25.1,78.1,72.6,993.05,24.9,33.2,7.6,24.3,169.5,0.4,0.2
,,350.00,563,674.4,18,25,28,14.9,22.7,25.1,78.1,72.6,993.06,24.9,31.9,7,24.2,169.4,0.5,0.9
,,351.00,564,674.1,18,25,28,14.9,22.7,25.1,78.1,72.6,993.08,24.9,31.9,7,24.2,169.3,0.4,0.4
,,352.00,558,673.7,16,23,24,14.9,22.7,25.1,73.9,72.6,993.08,24.9,33.2,7.6,24.3,169.3,0.4,-0.1
,,353.00,559,673.4,16,23,24,14.9,22.7,25.1,73.9,72.6,993.11,24.9,33.2,7.6,24.3,169,0.4,0
,,354.00,559,673.1,16,23,24,14.9,22.7,25.1,73.9,72.6,993.12,24.9,33.2,7.6,24.3,168.9,0.4,-0.1
,,355.00,563,672.8,16,23,23,14.9,22.7,25.1,73.9,72.6,993.15,24.9,33.2,7.6,24.3,168.7,0.5,0.7
,,356.00,567,672.5,16,22,23,15,22.7,25.1,71.8,72.6,993.13,24.8,33.2,7.6,24.2,168.8,0.4,-0.3
,,357.00,564,672.2,16,22,23,15,22.7,25.1,71.8,72.6,993.12,24.8,33.2,7.6,24.2,168.9,0.4,0
,,358.00,561,671.9,16,23,24,15,22.7,25.1,73.9,72.6,993.06,24.8,33.2,7.6,24.2,169.4,0.4,-0.2
,,359.00,563,671.6,16,23,24,15,22.7,25.1,73.9,72.6,993.07,24.8,33.2,7.6,24.2,169.3,0.4,0.4
,,360.00,559,671.2,17,24,24,15,22.7,25.1,76,72.6,993.09,24.8,33.2,7.6,24.2,169.2,0.5,1
,,361.00,558,670.9,16,23,23,15,22.7,25.1,73.9,72.6,993.07,24.8,33.2,7.6,24.2,169.4,0.4,0.4
,,362.00,556,670.6,16,23,23,15,22.7,25.1,73.9,72.6,993.08,24.8,33.2,7.6,24.2,169.3,0.5,0.7
,,363.00,556,670.3,16,23,23,15,22.7,25.1,73.9,72.6,993.1,24.8,33.2,7.5,24.2,169.1,0.4,0.5
,,364.00,564,670,16,22,24,15,22.7,25.1,71.8,72.6,993.14,24.8,33.2,7.5,24.2,168.8,0.5,0.8
,,365.00,564,669.7,16,22,24,15,22.7,25.1,71.8,72.6,993.14,24.8,33.2,7.5,24.2,168.7,0.5,0.7
,,366.00,563,669.4,15,21,23,15,22.7,25.1,69.7,72.6,993.08,24.8,33.2,7.5,24.2,169.3,0.4,-0.3
,,367.00,559,669.1,15,21,23,15,22.7,25.1,69.7,72.6,993.09,24.8,33.2,7.5,24.2,169.2,0.5,0.8
,,368.00,566,668.9,16,23,25,15,22.7,25.1,73.9,72.6,993.16,24.8,33.2,7.5,24.2,168.6,0.4,-0.2
,,369.00,564,668.6,16,23,24,15,22.7,25.1,73.9,72.6,993.17,24.8,33.2,7.5,24.2,168.5,0.5,0.9
,,370.00,566,668.3,16,23,24,15,22.7,25.1,73.9,72.6,993.15,24.8,33.2,7.5,24.2,168.6,0.5,0.6
,,371.00,566,668,16,23,24,15,22.7,25.1,73.9,72.6,993.11,24.8,33.2,7.5,24.2,169,0.4,0.2
,,372.00,560,667.7,16,23,24,15,22.7,25.1,73.9,72.6,993.11,24.8,33.2,7.5,24.2,169,0.4,0.1
,,373.00,557,667.4,16,23,24,15,22.7,25.1,73.9,72.6,993.15,24.8,34.6,8.1,24.2,168.7,0.4,-0.2
,,374.00,558,667.1,16,23,24,15,22.7,25.1,73.9,72.7,993.16,24.8,34.6,8.1,24.2,168.6,0.5,1
,,375.00,559,666.9,16,23,25,15,22.7,25.1,73.9,72.7,993.15,24.8,34.6,8.1,24.2,168.7,0.4,-0.5
,,376.00,557,666.6,17,24,28,15,22.7,25.1,76,72.7,993.17,24.8,34.6,8.1,24.2,168.5,0.5,0.7
,,377.00,556,666.3,17,24,28,15,22.7,25.1,76,72.7,993.19,24.8,34.6,8.1,24.2,168.3,0.4,0
,,378.00,556,666,18,25,28,15,22.7,25.1,78.1,72.7,993.15,24.8,34.6,8.1,24.2,168.6,0.4,0.3
,,379.00,556,665.7,17,24,27,15,22.7,25.1,76,72.7,993.04,24.8,34.6,8.1,24.2,169.6,0.5,0.9
,,380.00,554,665.4,16,24,27,15,22.7,25.1,76,72.7,993.03,24.7,34.6,8.1,24.2,169.7,0.4,0.4
,,381.00,553,665.1,17,25,27,15,22.8,25.1,78.1,72.7,992.96,24.7,34.6,8.1,24.2,170.3,0.4,0.1
,,382.00,553,664.8,17,25,27,15,22.8,25.1,78.1,72.7,993.03,24.7,34.6,8.1,24.2,169.7,0.5,0.9
,,383.00,550,664.5,19,27,30,15,22.8,25.1,82.3,72.8,993.06,24.7,34.6,8.1,24.1,169.5,0.4,-0.4
,,384.00,550,664.2,19,27,29,15.1,22.8,25.1,82.3,72.8,993.02,24.7,34.6,8.1,24.2,169.8,0.5,0.9
,,385.00,546,663.9,18,26,28,15.1,22.8,25.1,80.2,72.8,993.04,24.7,34.6,8.1,24.2,169.6,0.4,0
,,386.00,547,663.6,19,25,28,15.1,22.8,25.1,78.1,72.8,993.11,24.7,34.6,8.1,24.2,169.1,0.4,-0.1
,,387.00,549,663.3,20,26,29,15.1,22.8,25.1,80.2,72.8,993.07,24.7,34.6,8.1,24.2,169.4,0.4,0
,,388.00,547,663,19,26,29,15.1,22.8,25.2,80.2,72.9,993.07,24.7,34.6,8.1,24.1,169.4,0.4,0.5
,,389.00,549,662.7,19,26,30,15.1,22.8,25.2,80.2,72.9,993.09,24.7,34.6,8,24.1,169.1,0.5,0.9
,,390.00,549,662.4,19,26,30,15.1,22.8,25.2,80.2,72.9,993.09,24.7,34.6,8.1,24.1,169.2,0.5,0.6
,,391.00,549,662.1,19,26,30,15.1,22.8,25.2,80.2,72.9,993.08,24.7,34.6,8,24.1,169.3,0.4,0.1
,,392.00,548,661.8,20,27,29,15.1,22.8,25.2,82.3,72.9,993.09,24.7,34.6,8,24.1,169.2,0.4,0
,,393.00,543,661.5,20,27,29,15.2,22.9,25.2,82.3,73,993.1,24.7,34.6,8,24.1,169.1,0.4,-0.4
